timestamp,ax,ay,az,gx,gy,gz
1745843694,0.161,-0.214,0.927,0.854,-1.16,2.075
1745843694,0.166,-0.214,0.948,1.526,-4.456,0.305
1745843694,0.145,-0.219,0.947,0.671,2.441,-0.061
1745843694,0.174,-0.198,0.939,1.465,0.793,-1.465
1745843694,0.171,-0.218,0.936,0.61,0.977,-0.977
1745843694,0.18,-0.208,0.931,1.526,-2.808,-0.671
1745843694,0.157,-0.229,0.935,1.16,-2.258,-0.244
1745843694,0.14,-0.207,0.942,2.014,-1.282,0.671
1745843694,0.144,-0.198,0.954,0.977,-1.77,-1.648
1745843694,0.162,-0.212,0.945,1.16,-0.183,-0.61
1745843695,0.146,-0.211,0.929,1.648,1.648,1.221
1745843695,0.144,-0.215,0.93,0.977,-0.488,-0.183
1745843695,0.156,-0.208,0.94,1.587,-1.282,0.305
1745843695,0.147,-0.221,0.941,1.343,-0.732,0.793
1745843695,0.154,-0.219,0.94,1.038,1.404,0.061
1745843695,0.165,-0.21,0.935,0.61,1.648,0.427
1745843695,0.156,-0.204,0.93,1.648,0.732,1.16
1745843695,0.146,-0.21,0.949,1.892,-1.892,0.916
1745843695,0.146,-0.218,0.944,0.488,0.732,0.122
1745843695,0.152,-0.212,0.938,1.282,0.977,0.427
1745843695,0.157,-0.209,0.936,1.343,-0.549,0.793
1745843695,0.148,-0.221,0.937,0.366,-1.16,0.0
1745843695,0.152,-0.209,0.949,2.075,-2.258,-0.427
1745843695,0.148,-0.207,0.941,-0.061,1.831,-0.305
1745843695,0.143,-0.217,0.94,1.404,-0.854,-0.061
1745843695,0.154,-0.218,0.945,1.404,0.183,-0.427
1745843695,0.162,-0.215,0.932,0.366,1.953,0.366
1745843695,0.157,-0.212,0.931,1.465,-1.16,0.854
1745843695,0.15,-0.221,0.938,0.61,0.0,1.038
1745843695,0.155,-0.21,0.942,1.343,-1.221,0.183
1745843696,0.148,-0.219,0.937,0.732,0.916,-0.488
1745843696,0.154,-0.208,0.938,1.465,-0.183,-0.183
1745843696,0.153,-0.214,0.938,1.404,-0.61,-0.244
1745843696,0.139,-0.213,0.934,0.793,-0.183,0.0
1745843696,0.154,-0.215,0.939,1.465,-0.916,-0.244
1745843696,0.156,-0.216,0.937,1.343,0.061,0.366
1745843696,0.146,-0.214,0.93,1.526,-1.343,0.122
1745843696,0.148,-0.218,0.951,0.793,0.427,-0.061
1745843696,0.152,-0.213,0.932,0.671,1.587,0.427
1745843696,0.155,-0.216,0.926,0.977,-0.244,-0.244
1745843696,0.158,-0.223,0.938,1.221,-0.366,0.671
1745843696,0.145,-0.215,0.945,1.648,-0.183,0.916
1745843696,0.14,-0.219,0.942,0.854,1.099,0.793
1745843696,0.16,-0.21,0.926,0.854,0.0,0.305
1745843696,0.169,-0.212,0.938,1.221,-2.441,-0.671
1745843697,0.136,-0.222,0.935,0.549,1.831,-0.061
1745843697,0.154,-0.221,0.926,1.099,-0.488,-0.244
1745843697,0.166,-0.212,0.929,0.793,-1.099,0.0
1745843697,0.146,-0.219,0.944,0.854,-2.197,0.244
1745843697,0.137,-0.221,0.943,1.404,1.831,1.282
1745843697,0.139,-0.214,0.949,1.404,8.972,2.502
1745843697,0.177,-0.205,0.92,-0.061,2.319,-0.732
1745843697,0.157,-0.217,0.935,1.16,0.244,0.366
1745843697,0.153,-0.218,0.946,1.16,-0.671,0.244
1745843697,0.151,-0.219,0.934,0.427,0.366,-0.488
1745843697,0.171,-0.223,0.946,1.16,-0.366,-0.793
1745843697,0.186,-0.209,0.914,-0.122,-2.136,-1.465
1745843697,0.169,-0.213,0.954,2.014,-4.395,-0.122
1745843697,0.117,-0.217,0.965,0.183,2.502,-0.916
1745843698,0.166,-0.182,0.964,2.747,5.005,-0.061
1745843698,0.207,-0.131,0.958,0.977,-5.005,0.854
1745843698,0.25,-0.134,0.955,-0.061,-12.939,11.475
1745843698,0.19,-0.156,0.951,-1.282,-20.935,18.738
1745843698,0.181,-0.076,0.946,4.211,-26.062,20.813
1745843698,0.041,-0.115,0.913,-2.869,-18.555,19.104
1745843698,0.077,-0.197,0.954,-7.324,-25.452,11.841
1745843698,0.079,-0.246,0.934,8.301,-21.423,13.733
1745843698,0.011,-0.286,0.914,7.568,-8.423,10.864
1745843698,0.002,-0.268,0.912,2.686,3.54,6.836
1745843698,-0.009,-0.241,0.944,2.319,17.517,1.831
1745843699,0.108,-0.209,0.983,-16.479,36.804,5.92
1745843699,0.159,-0.167,0.926,-13.55,31.372,4.7
1745843699,0.152,-0.14,0.888,-2.686,25.94,1.77
1745843699,0.247,-0.208,0.909,1.587,50.354,4.7
1745843699,0.326,-0.184,0.907,-17.578,31.677,-3.662
1745843699,0.324,-0.122,0.916,-13.245,-5.066,2.441
1745843699,0.258,-0.13,0.945,-12.634,22.827,1.282
1745843699,0.262,-0.129,0.987,-15.991,14.099,-1.526
1745843699,0.275,-0.083,0.922,-27.405,27.161,-22.583
1745843699,0.16,-0.248,0.941,-4.883,-48.706,-3.418
1745843699,0.31,-0.122,0.94,-10.864,-46.265,12.756
1745843699,0.1,-0.104,0.949,22.278,-45.227,44.861
1745843699,-0.083,-0.019,1.076,4.761,0.549,17.334
1745843699,0.105,-0.077,1.027,9.644,-4.578,-2.258
1745843700,0.24,-0.158,0.931,25.391,-6.836,14.648
1745843700,0.168,-0.106,0.983,19.958,-22.644,37.109
1745843700,0.011,-0.134,0.938,31.372,10.742,11.658
